,vocals,accompaniment,drums,bass,other,MIX
James May - On The Line (57),181,1227,648,296,304,1389
James May - On The Line (58),265,931,577,202,166,1197
James May - On The Line (59),168,1156,722,246,210,1317
James May - On The Line (60),130,1017,546,186,252,1155
James May - On The Line (61),235,1193,605,281,342,1432
James May - On The Line (62),312,1407,737,205,464,1720
James May - On The Line (63),268,1411,719,167,479,1684
James May - On The Line (64),297,1206,698,136,396,1493
James May - On The Line (65),263,1210,846,140,294,1497
James May - On The Line (66),177,1482,808,160,539,1663
James May - On The Line (67),256,1409,684,189,488,1647
James May - On The Line (68),195,1086,560,196,338,1271
James May - On The Line (69),210,1106,600,195,344,1303
James May - On The Line (70),125,674,384,181,102,801
James May - On The Line (71),139,1217,535,337,389,1352
James May - On The Line (72),218,1367,661,219,460,1586
James May - On The Line (73),284,1545,878,293,438,1817
James May - On The Line (74),254,1645,1039,263,359,1906
James May - On The Line (75),337,740,385,233,156,1067
James May - On The Line (76),39,542,185,250,125,577
James May - On The Line (77),0,682,212,373,100,682
James May - On The Line (78),0,632,182,332,128,632
James May - On The Line (79),0,634,185,366,78,634
James May - On The Line (80),0,539,199,295,70,539
James May - On The Line (81),0,543,131,284,104,543
James May - On The Line (82),0,705,326,187,188,705
James May - On The Line (83),0,579,273,90,179,579
James May - On The Line (84),0,57,0,20,31,57
James May - On The Line (85),0,1,0,1,0,1
Jay Menon - Through My Eyes (0),89,2,0,0,2,91
Jay Menon - Through My Eyes (1),67,8,0,0,8,75
Jay Menon - Through My Eyes (2),73,17,0,0,17,89
Jay Menon - Through My Eyes (3),29,15,0,0,15,44
Jay Menon - Through My Eyes (4),25,18,0,0,18,43
Jay Menon - Through My Eyes (5),83,16,0,0,16,99
Jay Menon - Through My Eyes (6),67,22,0,0,22,89
Jay Menon - Through My Eyes (7),36,22,0,0,22,58
Jay Menon - Through My Eyes (8),176,21,0,0,21,196
Jay Menon - Through My Eyes (9),593,20,0,0,20,615
Jay Menon - Through My Eyes (10),464,36,0,0,35,501
Jay Menon - Through My Eyes (11),710,57,0,0,57,780
Jay Menon - Through My Eyes (12),94,45,0,0,45,145
Jay Menon - Through My Eyes (13),300,41,0,0,41,345
Jay Menon - Through My Eyes (14),136,35,0,0,35,169
Jay Menon - Through My Eyes (15),132,59,0,0,59,187
Jay Menon - Through My Eyes (16),152,52,0,0,52,208
Jay Menon - Through My Eyes (17),350,54,0,0,54,401
Jay Menon - Through My Eyes (18),139,19,0,0,19,159
Jay Menon - Through My Eyes (19),231,25,0,0,25,264
Jay Menon - Through My Eyes (20),118,30,0,0,30,136
Jay Menon - Through My Eyes (21),79,63,0,0,63,141
Jay Menon - Through My Eyes (22),0,129,0,127,2,129
Jay Menon - Through My Eyes (23),87,509,198,258,48,603
Jay Menon - Through My Eyes (24),67,221,99,73,47,286
Jay Menon - Through My Eyes (25),91,338,167,127,39,425
Jay Menon - Through My Eyes (26),36,349,192,106,33,380
Jay Menon - Through My Eyes (27),30,361,139,179,49,390
Jay Menon - Through My Eyes (28),78,389,199,96,95,465
Jay Menon - Through My Eyes (29),72,226,67,78,73,296
Jay Menon - Through My Eyes (30),18,395,200,127,65,408
Jay Menon - Through My Eyes (31),363,365,134,115,112,716
Jay Menon - Through My Eyes (32),476,638,210,246,187,1105
Jay Menon - Through My Eyes (33),890,833,275,288,225,1724
Jay Menon - Through My Eyes (34),443,401,76,176,163,851
Jay Menon - Through My Eyes (35),216,691,212,337,127,917
Jay Menon - Through My Eyes (36),406,543,145,254,128,949
Jay Menon - Through My Eyes (37),292,487,207,160,152,792
Jay Menon - Through My Eyes (38),300,644,221,212,220,960
Jay Menon - Through My Eyes (39),234,670,282,158,202,922
Jay Menon - Through My Eyes (40),428,314,158,71,86,736
Jay Menon - Through My Eyes (41),90,195,138,16,43,284
Jay Menon - Through My Eyes (42),165,217,140,42,32,386
Jay Menon - Through My Eyes (43),286,278,126,87,69,551
Jay Menon - Through My Eyes (44),284,340,92,160,78,643
Jay Menon - Through My Eyes (45),274,231,56,96,69,499
Jay Menon - Through My Eyes (46),172,97,0,59,39,267
Jay Menon - Through My Eyes (47),230,350,126,134,93,587
Jay Menon - Through My Eyes (48),50,238,89,82,71,288
Jay Menon - Through My Eyes (49),140,373,57,97,224,499
Jay Menon - Through My Eyes (50),296,201,67,67,65,502
Jay Menon - Through My Eyes (51),287,151,2,102,50,443
Jay Menon - Through My Eyes (52),306,372,124,142,95,673
Jay Menon - Through My Eyes (53),176,201,78,78,43,374
Jay Menon - Through My Eyes (54),22,226,77,68,73,249
Jay Menon - Through My Eyes (55),0,491,194,107,187,491
Jay Menon - Through My Eyes (56),0,285,151,89,60,285
Jay Menon - Through My Eyes (57),0,575,204,147,244,575
Jay Menon - Through My Eyes (58),0,260,70,80,113,260
Jay Menon - Through My Eyes (59),0,363,205,80,82,363
Jay Menon - Through My Eyes (60),0,388,136,166,92,388
Jay Menon - Through My Eyes (61),0,513,290,158,81,513
Jay Menon - Through My Eyes (62),47,83,69,11,4,129
Jay Menon - Through My Eyes (63),102,175,136,20,20,280
Jay Menon - Through My Eyes (64),0,339,199,94,37,339
Jay Menon - Through My Eyes (65),178,166,101,40,18,349
Jay Menon - Through My Eyes (66),37,293,173,86,47,330
Jay Menon - Through My Eyes (67),47,309,167,29,113,353
Jay Menon - Through My Eyes (68),62,13,4,0,10,76
Jay Menon - Through My Eyes (69),209,47,38,0,9,254
Jay Menon - Through My Eyes (70),4,1,0,0,1,5
Jay Menon - Through My Eyes (71),95,15,0,0,15,112
Jay Menon - Through My Eyes (72),147,52,0,0,52,178
Jay Menon - Through My Eyes (73),0,2,0,0,2,2
Jay Menon - Through My Eyes (74),0,207,48,70,86,207
Jay Menon - Through My Eyes (75),0,327,1,160,158,327
Jay Menon - Through My Eyes (76),0,222,1,80,140,222
Jay Menon - Through My Eyes (77),0,340,74,131,124,340
Jay Menon - Through My Eyes (78),0,96,1,62,27,96
Jay Menon - Through My Eyes (79),0,23,0,14,9,23
Jay Menon - Through My Eyes (80),0,3,0,1,2,3
Jay Menon - Through My Eyes (81),0,0,0,0,0,0
Jay Menon - Through My Eyes (82),0,0,0,0,0,0
Jay Menon - Through My Eyes (83),0,0,0,0,0,0
Jay Menon - Through My Eyes (84),0,0,0,0,0,0
Johnny Lokke - Promises & Lies (0),0,49,0,0,49,49
Johnny Lokke - Promises & Lies (1),0,109,0,0,109,109
Johnny Lokke - Promises & Lies (2),0,122,0,0,122,122
Johnny Lokke - Promises & Lies (3),0,123,0,0,123,123
Johnny Lokke - Promises & Lies (4),0,436,398,0,38,436
Johnny Lokke - Promises & Lies (5),23,987,437,200,367,1010
Johnny Lokke - Promises & Lies (6),25,1116,435,243,449,1140
Johnny Lokke - Promises & Lies (7),8,1190,442,207,519,1197
Johnny Lokke - Promises & Lies (8),0,1217,437,194,537,1217
Johnny Lokke - Promises & Lies (9),0,1310,456,203,613,1310
Johnny Lokke - Promises & Lies (10),0,1219,451,166,578,1219
Johnny Lokke - Promises & Lies (11),0,1215,448,192,564,1215
Johnny Lokke - Promises & Lies (12),0,1333,543,185,596,1333
Johnny Lokke - Promises & Lies (13),696,1104,428,184,511,1798
Johnny Lokke - Promises & Lies (14),871,983,435,172,347,1849
Johnny Lokke - Promises & Lies (15),537,962,433,145,402,1501
Johnny Lokke - Promises & Lies (16),574,962,437,158,377,1537
Johnny Lokke - Promises & Lies (17),299,1058,426,193,428,1357
Johnny Lokke - Promises & Lies (18),302,1036,436,208,402,1337
Johnny Lokke - Promises & Lies (19),245,1061,425,201,399,1305
Johnny Lokke - Promises & Lies (20),274,1005,455,195,346,1279
Johnny Lokke - Promises & Lies (21),362,1668,962,163,538,2024
Johnny Lokke - Promises & Lies (22),586,1433,870,176,457,2014
Johnny Lokke - Promises & Lies (23),402,1490,982,161,430,1893
Johnny Lokke - Promises & Lies (24),486,1386,803,138,538,1865
Johnny Lokke - Promises & Lies (25),539,1276,749,140,450,1816
Johnny Lokke - Promises & Lies (26),972,1605,833,150,544,2582
Johnny Lokke - Promises & Lies (27),258,1675,916,151,612,1933
Johnny Lokke - Promises & Lies (28),338,1488,881,132,548,1830
Johnny Lokke - Promises & Lies (29),246,930,464,134,364,1176
Johnny Lokke - Promises & Lies (30),445,964,439,180,375,1408
Johnny Lokke - Promises & Lies (31),348,954,426,180,370,1296
Johnny Lokke - Promises & Lies (32),649,950,427,184,349,1595
Johnny Lokke - Promises & Lies (33),677,1037,444,159,436,1710
Johnny Lokke - Promises & Lies (34),461,974,424,175,378,1426
Johnny Lokke - Promises & Lies (35),480,979,432,157,420,1462
Johnny Lokke - Promises & Lies (36),543,925,431,155,331,1464
Johnny Lokke - Promises & Lies (37),681,1492,978,157,416,2161
Johnny Lokke - Promises & Lies (38),251,1589,838,164,504,1848
Johnny Lokke - Promises & Lies (39),278,1541,926,152,534,1822
Johnny Lokke - Promises & Lies (40),519,1587,840,146,582,2103
Johnny Lokke - Promises & Lies (41),295,1492,807,157,479,1786
Johnny Lokke - Promises & Lies (42),704,1520,852,150,589,2225
Johnny Lokke - Promises & Lies (43),351,1678,945,137,633,2028
Johnny Lokke - Promises & Lies (44),360,1562,876,148,493,1921
Johnny Lokke - Promises & Lies (45),49,1034,444,129,444,1078
Johnny Lokke - Promises & Lies (46),0,1279,617,177,451,1279
Johnny Lokke - Promises & Lies (47),0,1099,449,175,477,1099
Johnny Lokke - Promises & Lies (48),0,1169,632,153,391,1169
Johnny Lokke - Promises & Lies (49),0,1360,751,131,487,1360
Johnny Lokke - Promises & Lies (50),0,1225,601,172,433,1225
Johnny Lokke - Promises & Lies (51),0,1099,443,187,447,1099
Johnny Lokke - Promises & Lies (52),0,1179,594,173,413,1179
Johnny Lokke - Promises & Lies (53),0,1245,695,123,426,1245
Johnny Lokke - Promises & Lies (54),0,1205,580,198,422,1205
Johnny Lokke - Promises & Lies (55),0,1097,476,173,447,1097
Johnny Lokke - Promises & Lies (56),0,1195,553,199,466,1194
Johnny Lokke - Promises & Lies (57),0,1725,1082,152,484,1725
Johnny Lokke - Promises & Lies (58),0,1242,541,186,527,1242
Johnny Lokke - Promises & Lies (59),0,1163,504,210,473,1163
Johnny Lokke - Promises & Lies (60),0,1130,558,185,396,1130
Johnny Lokke - Promises & Lies (61),185,1404,781,157,460,1587
Johnny Lokke - Promises & Lies (62),291,1046,429,214,409,1335
Johnny Lokke - Promises & Lies (63),348,1057,439,239,384,1405
Johnny Lokke - Promises & Lies (64),305,1048,431,212,368,1355
Johnny Lokke - Promises & Lies (65),247,1069,468,203,400,1320
Johnny Lokke - Promises & Lies (66),191,970,434,181,344,1160
Johnny Lokke - Promises & Lies (67),467,949,434,160,398,1411
Johnny Lokke - Promises & Lies (68),256,1004,437,181,391,1261
Johnny Lokke - Promises & Lies (69),413,1343,688,215,394,1755
Johnny Lokke - Promises & Lies (70),199,1510,872,181,556,1708
Johnny Lokke - Promises & Lies (71),401,1550,931,155,510,1950
Johnny Lokke - Promises & Lies (72),499,1536,873,158,596,2031
Johnny Lokke - Promises & Lies (73),159,1356,775,155,488,1517
Johnny Lokke - Promises & Lies (74),574,1527,880,162,481,2113
Johnny Lokke - Promises & Lies (75),354,1607,924,149,565,1957
Johnny Lokke - Promises & Lies (76),330,1603,869,143,581,1935
Johnny Lokke - Promises & Lies (77),187,1133,612,157,408,1322
Johnny Lokke - Promises & Lies (78),0,1102,444,201,439,1102
Johnny Lokke - Promises & Lies (79),0,1152,430,247,458,1152
Johnny Lokke - Promises & Lies (80),0,1152,441,247,422,1152
Johnny Lokke - Promises & Lies (81),0,1185,505,222,440,1185
Johnny Lokke - Promises & Lies (82),911,1025,449,249,333,1923
Johnny Lokke - Promises & Lies (83),520,967,433,263,259,1487
Johnny Lokke - Promises & Lies (84),658,991,428,214,349,1638
Johnny Lokke - Promises & Lies (85),104,1128,633,169,336,1231
Johnny Lokke - Promises & Lies (86),815,1120,616,261,289,1933
Johnny Lokke - Promises & Lies (87),574,1252,637,249,344,1827
Johnny Lokke - Promises & Lies (88),399,1260,703,257,319,1666
Johnny Lokke - Promises & Lies (89),297,1985,1466,170,348,2285
Johnny Lokke - Promises & Lies (90),369,1180,631,255,328,1542
Johnny Lokke - Promises & Lies (91),382,1196,641,238,308,1584
Johnny Lokke - Promises & Lies (92),436,1148,639,247,279,1584
Johnny Lokke - Promises & Lies (93),669,2095,1540,246,334,2767
Johnny Lokke - Promises & Lies (94),45,87,59,9,18,132
Johnny Lokke - Promises & Lies (95),0,0,0,0,0,0
Johnny Lokke - Whisper To A Scream (0),0,469,228,113,108,469
Johnny Lokke - Whisper To A Scream (1),0,1015,516,291,234,1015
Johnny Lokke - Whisper To A Scream (2),0,1074,527,258,331,1074
Johnny Lokke - Whisper To A Scream (3),0,1052,532,292,236,1052
Johnny Lokke - Whisper To A Scream (4),0,1078,522,281,278,1078
Johnny Lokke - Whisper To A Scream (5),269,886,421,254,231,1154
Johnny Lokke - Whisper To A Scream (6),165,905,401,299,255,1064
Johnny Lokke - Whisper To A Scream (7),198,1139,551,262,301,1327
Johnny Lokke - Whisper To A Scream (8),242,1020,440,295,231,1256
Johnny Lokke - Whisper To A Scream (9),121,1034,476,244,317,1155
Johnny Lokke - Whisper To A Scream (10),259,803,456,221,173,1058
Johnny Lokke - Whisper To A Scream (11),63,975,484,254,202,1041
Johnny Lokke - Whisper To A Scream (12),236,895,397,260,234,1133
Johnny Lokke - Whisper To A Scream (13),362,1060,455,260,347,1430
Johnny Lokke - Whisper To A Scream (14),221,926,465,292,167,1141
Johnny Lokke - Whisper To A Scream (15),152,936,484,250,164,1082
Johnny Lokke - Whisper To A Scream (16),330,929,436,261,231,1265
Johnny Lokke - Whisper To A Scream (17),98,1009,497,290,243,1108
Johnny Lokke - Whisper To A Scream (18),169,1123,497,278,288,1292
Johnny Lokke - Whisper To A Scream (19),308,980,425,296,259,1281
Johnny Lokke - Whisper To A Scream (20),134,1091,480,261,336,1222
Johnny Lokke - Whisper To A Scream (21),291,1104,525,317,227,1390
Johnny Lokke - Whisper To A Scream (22),149,966,425,289,261,1118
Johnny Lokke - Whisper To A Scream (23),284,843,429,229,174,1123
Johnny Lokke - Whisper To A Scream (24),97,868,483,253,170,965
Johnny Lokke - Whisper To A Scream (25),327,913,420,294,226,1236
Johnny Lokke - Whisper To A Scream (26),318,1043,462,303,285,1362
Johnny Lokke - Whisper To A Scream (27),171,959,445,297,237,1128
Johnny Lokke - Whisper To A Scream (28),160,903,433,282,186,1061
Johnny Lokke - Whisper To A Scream (29),262,948,447,243,221,1214
Johnny Lokke - Whisper To A Scream (30),252,949,455,286,236,1203
Johnny Lokke - Whisper To A Scream (31),17,1144,557,298,224,1160
Johnny Lokke - Whisper To A Scream (32),72,990,522,292,203,1061
Johnny Lokke - Whisper To A Scream (33),303,1155,504,383,276,1463
Johnny Lokke - Whisper To A Scream (34),262,1015,488,312,203,1280
Johnny Lokke - Whisper To A Scream (35),225,1147,485,359,302,1375
Johnny Lokke - Whisper To A Scream (36),350,1176,631,371,218,1530
Johnny Lokke - Whisper To A Scream (37),263,1093,515,350,269,1353
Johnny Lokke - Whisper To A Scream (38),413,1124,534,365,243,1542
Johnny Lokke - Whisper To A Scream (39),235,1048,458,338,236,1280
Johnny Lokke - Whisper To A Scream (40),258,1230,564,290,344,1478
Johnny Lokke - Whisper To A Scream (41),259,1366,465,286,602,1615
Johnny Lokke - Whisper To A Scream (42),0,1447,495,275,670,1447
Johnny Lokke - Whisper To A Scream (43),0,1728,811,254,637,1728
Johnny Lokke - Whisper To A Scream (44),0,2254,1310,246,649,2253
Johnny Lokke - Whisper To A Scream (45),0,1410,520,251,651,1410
Johnny Lokke - Whisper To A Scream (46),0,1393,513,264,609,1393
Johnny Lokke - Whisper To A Scream (47),0,1617,692,271,638,1617
Johnny Lokke - Whisper To A Scream (48),0,1891,989,242,662,1891
Johnny Lokke - Whisper To A Scream (49),0,1755,984,296,521,1755
Johnny Lokke - Whisper To A Scream (50),0,1279,507,246,526,1279
Johnny Lokke - Whisper To A Scream (51),0,1289,456,241,577,1289
Johnny Lokke - Whisper To A Scream (52),0,1836,945,244,639,1836
Johnny Lokke - Whisper To A Scream (53),0,2105,1275,222,613,2105
Johnny Lokke - Whisper To A Scream (54),0,1596,664,205,740,1596
Johnny Lokke - Whisper To A Scream (55),0,1469,713,195,548,1469
Johnny Lokke - Whisper To A Scream (56),0,1449,759,213,472,1449
Johnny Lokke - Whisper To A Scream (57),0,954,371,120,458,953
Johnny Lokke - Whisper To A Scream (58),229,687,225,139,292,918
Johnny Lokke - Whisper To A Scream (59),405,934,419,248,259,1332
Johnny Lokke - Whisper To A Scream (60),134,1077,463,274,362,1214
Johnny Lokke - Whisper To A Scream (61),206,1031,541,261,231,1236
Johnny Lokke - Whisper To A Scream (62),302,1166,516,257,350,1466
Johnny Lokke - Whisper To A Scream (63),240,829,438,245,166,1066
Johnny Lokke - Whisper To A Scream (64),297,889,464,242,188,1190
Johnny Lokke - Whisper To A Scream (65),211,1010,482,261,222,1217
Johnny Lokke - Whisper To A Scream (66),511,904,405,275,228,1407
Johnny Lokke - Whisper To A Scream (67),205,1100,483,294,304,1304
Johnny Lokke - Whisper To A Scream (68),180,954,485,284,199,1141
Johnny Lokke - Whisper To A Scream (69),216,898,446,223,193,1110
Johnny Lokke - Whisper To A Scream (70),171,996,478,293,223,1168
Johnny Lokke - Whisper To A Scream (71),84,1412,875,280,318,1498
Johnny Lokke - Whisper To A Scream (72),280,971,424,287,240,1249
Johnny Lokke - Whisper To A Scream (73),33,980,410,266,343,1009
Johnny Lokke - Whisper To A Scream (74),332,960,492,289,238,1289
Johnny Lokke - Whisper To A Scream (75),45,1036,464,303,280,1079
Johnny Lokke - Whisper To A Scream (76),273,1145,582,277,288,1419
Johnny Lokke - Whisper To A Scream (77),177,993,525,288,233,1174
Johnny Lokke - Whisper To A Scream (78),223,1154,569,262,281,1375
Johnny Lokke - Whisper To A Scream (79),304,1015,485,279,228,1314
Johnny Lokke - Whisper To A Scream (80),112,1343,766,261,319,1459
Johnny Lokke - Whisper To A Scream (81),319,1886,1434,272,250,2197
Johnny Lokke - Whisper To A Scream (82),219,1456,829,271,347,1674
Johnny Lokke - Whisper To A Scream (83),0,111,61,26,21,111
Johnny Lokke - Whisper To A Scream (84),0,0,0,0,0,0
"Jokers, Jacks & Kings - Sea Of Leaves (0)",0,0,0,0,0,0
"Jokers, Jacks & Kings - Sea Of Leaves (1)",0,165,0,0,165,165
"Jokers, Jacks & Kings - Sea Of Leaves (2)",0,566,216,80,283,566
"Jokers, Jacks & Kings - Sea Of Leaves (3)",0,372,4,158,203,372
"Jokers, Jacks & Kings - Sea Of Leaves (4)",0,912,300,274,339,912
"Jokers, Jacks & Kings - Sea Of Leaves (5)",0,778,291,238,243,777
"Jokers, Jacks & Kings - Sea Of Leaves (6)",206,410,173,150,83,614
"Jokers, Jacks & Kings - Sea Of Leaves (7)",192,482,224,108,161,658
"Jokers, Jacks & Kings - Sea Of Leaves (8)",185,445,227,89,144,631
"Jokers, Jacks & Kings - Sea Of Leaves (9)",136,388,154,111,138,524
"Jokers, Jacks & Kings - Sea Of Leaves (10)",271,573,299,125,175,833
"Jokers, Jacks & Kings - Sea Of Leaves (11)",241,615,249,127,234,840
"Jokers, Jacks & Kings - Sea Of Leaves (12)",156,455,193,114,155,602
"Jokers, Jacks & Kings - Sea Of Leaves (13)",78,622,222,106,291,705
"Jokers, Jacks & Kings - Sea Of Leaves (14)",164,636,231,97,312,804
"Jokers, Jacks & Kings - Sea Of Leaves (15)",280,548,212,104,231,844
"Jokers, Jacks & Kings - Sea Of Leaves (16)",466,826,227,147,465,1308
"Jokers, Jacks & Kings - Sea Of Leaves (17)",416,947,398,134,458,1384
"Jokers, Jacks & Kings - Sea Of Leaves (18)",345,920,419,217,263,1269
"Jokers, Jacks & Kings - Sea Of Leaves (19)",140,1099,431,315,361,1227
"Jokers, Jacks & Kings - Sea Of Leaves (20)",221,1230,545,253,425,1450
"Jokers, Jacks & Kings - Sea Of Leaves (21)",511,813,297,201,334,1320
"Jokers, Jacks & Kings - Sea Of Leaves (22)",16,312,94,3,212,328
"Jokers, Jacks & Kings - Sea Of Leaves (23)",522,825,340,225,254,1369
"Jokers, Jacks & Kings - Sea Of Leaves (24)",553,931,336,329,247,1469
"Jokers, Jacks & Kings - Sea Of Leaves (25)",452,906,324,333,255,1361
"Jokers, Jacks & Kings - Sea Of Leaves (26)",443,849,328,286,241,1302
"Jokers, Jacks & Kings - Sea Of Leaves (27)",734,838,323,282,222,1564
"Jokers, Jacks & Kings - Sea Of Leaves (28)",365,947,336,344,287,1324
"Jokers, Jacks & Kings - Sea Of Leaves (29)",527,828,354,224,256,1364
"Jokers, Jacks & Kings - Sea Of Leaves (30)",175,634,312,112,194,817
"Jokers, Jacks & Kings - Sea Of Leaves (31)",0,784,321,200,290,783
"Jokers, Jacks & Kings - Sea Of Leaves (32)",0,674,279,215,182,673
"Jokers, Jacks & Kings - Sea Of Leaves (33)",0,957,322,270,363,957
"Jokers, Jacks & Kings - Sea Of Leaves (34)",0,760,261,288,213,760
"Jokers, Jacks & Kings - Sea Of Leaves (35)",214,415,177,121,102,634
"Jokers, Jacks & Kings - Sea Of Leaves (36)",151,515,233,131,148,666
"Jokers, Jacks & Kings - Sea Of Leaves (37)",147,592,231,90,258,734
"Jokers, Jacks & Kings - Sea Of Leaves (38)",201,433,188,104,149,642
"Jokers, Jacks & Kings - Sea Of Leaves (39)",441,549,229,115,221,987
"Jokers, Jacks & Kings - Sea Of Leaves (40)",243,606,272,96,236,827
"Jokers, Jacks & Kings - Sea Of Leaves (41)",457,484,190,104,174,948
"Jokers, Jacks & Kings - Sea Of Leaves (42)",189,529,193,103,235,712
"Jokers, Jacks & Kings - Sea Of Leaves (43)",206,542,232,80,238,754
"Jokers, Jacks & Kings - Sea Of Leaves (44)",186,549,198,93,261,728
"Jokers, Jacks & Kings - Sea Of Leaves (45)",393,668,258,124,283,1045
"Jokers, Jacks & Kings - Sea Of Leaves (46)",160,923,350,171,401,1082
"Jokers, Jacks & Kings - Sea Of Leaves (47)",273,1033,504,208,343,1298
"Jokers, Jacks & Kings - Sea Of Leaves (48)",198,1126,429,314,397,1322
"Jokers, Jacks & Kings - Sea Of Leaves (49)",272,1206,598,247,356,1471
"Jokers, Jacks & Kings - Sea Of Leaves (50)",451,1190,465,281,421,1622
"Jokers, Jacks & Kings - Sea Of Leaves (51)",826,1165,543,228,394,1982
"Jokers, Jacks & Kings - Sea Of Leaves (52)",681,981,398,249,328,1655
"Jokers, Jacks & Kings - Sea Of Leaves (53)",588,899,312,288,276,1502
"Jokers, Jacks & Kings - Sea Of Leaves (54)",353,889,320,315,288,1248
"Jokers, Jacks & Kings - Sea Of Leaves (55)",484,892,341,266,291,1386
"Jokers, Jacks & Kings - Sea Of Leaves (56)",509,907,354,266,287,1419
"Jokers, Jacks & Kings - Sea Of Leaves (57)",543,896,323,283,314,1434
"Jokers, Jacks & Kings - Sea Of Leaves (58)",537,841,291,247,291,1396
"Jokers, Jacks & Kings - Sea Of Leaves (59)",395,694,311,160,241,1102
"Jokers, Jacks & Kings - Sea Of Leaves (60)",343,603,271,84,225,929
"Jokers, Jacks & Kings - Sea Of Leaves (61)",324,640,340,91,210,957
"Jokers, Jacks & Kings - Sea Of Leaves (62)",2,930,304,228,397,932
"Jokers, Jacks & Kings - Sea Of Leaves (63)",0,918,325,258,353,917
Leaf - Come Around (0),0,0,0,0,0,0
Leaf - Come Around (1),0,0,0,0,0,0
Leaf - Come Around (2),0,0,0,0,0,0
Leaf - Come Around (3),0,0,0,0,0,0
Leaf - Come Around (4),0,40,1,0,39,40
Leaf - Come Around (5),0,57,2,0,55,57
Leaf - Come Around (6),0,62,2,0,61,62
Leaf - Come Around (7),0,47,2,0,45,47
Leaf - Come Around (8),52,375,13,350,46,429
Leaf - Come Around (9),66,793,24,753,25,861
Leaf - Come Around (10),208,1663,20,1599,49,1881
Leaf - Come Around (11),0,2007,24,1925,60,2007
Leaf - Come Around (12),1,1384,20,1298,50,1385
Leaf - Come Around (13),93,1140,20,1083,37,1236
Leaf - Come Around (14),251,1263,21,1206,26,1562
Leaf - Come Around (15),151,1861,21,1795,52,2012
Leaf - Come Around (16),65,2002,20,1931,44,2063
Leaf - Come Around (17),91,1298,20,1222,46,1390
Leaf - Come Around (18),188,1134,20,1092,35,1302
Leaf - Come Around (19),181,1846,24,1747,48,2023
Leaf - Come Around (20),408,2200,20,2097,116,2611
Leaf - Come Around (21),192,1304,36,879,367,1492
Leaf - Come Around (22),422,2552,54,2025,422,2975
Leaf - Come Around (23),542,2322,27,2058,309,2864
Leaf - Come Around (24),81,2334,22,2110,268,2420
Leaf - Come Around (25),274,1441,32,1048,303,1741
Leaf - Come Around (26),332,1773,52,1409,242,2119
Leaf - Come Around (27),435,2886,36,2373,330,3335
Leaf - Come Around (28),149,2310,31,1880,279,2461
Leaf - Come Around (29),0,1243,25,1024,187,1242
Leaf - Come Around (30),0,1283,1,1125,135,1283
Leaf - Come Around (31),0,1062,9,933,138,1062
Leaf - Come Around (32),0,1801,21,1649,118,1801
Leaf - Come Around (33),19,1718,20,1661,43,1736
Leaf - Come Around (34),795,1207,20,1150,46,2017
Leaf - Come Around (35),1193,1174,20,1124,24,2300
Leaf - Come Around (36),944,1436,24,1392,42,2383
Leaf - Come Around (37),204,1698,20,1662,41,1904
Leaf - Come Around (38),460,1239,17,1192,59,1758
Leaf - Come Around (39),1341,1171,24,1127,42,2556
Leaf - Come Around (40),1410,1822,16,1732,54,3245
Leaf - Come Around (41),395,1459,26,1386,91,1855
Leaf - Come Around (42),282,1727,29,1288,372,2014
Leaf - Come Around (43),434,1860,53,1392,389,2286
Leaf - Come Around (44),501,2326,36,1798,425,2837
Leaf - Come Around (45),451,1972,24,1792,222,2388
Leaf - Come Around (46),1110,1276,26,928,310,2377
Leaf - Come Around (47),1329,1444,50,1174,319,2812
Leaf - Come Around (48),551,2856,44,2326,473,3409
Leaf - Come Around (49),336,2288,31,1971,296,2625
Leaf - Come Around (50),421,1494,33,1248,112,1966
Leaf - Come Around (51),22,142,11,0,130,165
Leaf - Come Around (52),0,210,14,0,196,210
Leaf - Come Around (53),0,236,16,0,221,236
Leaf - Come Around (54),0,246,10,0,236,246
Leaf - Come Around (55),39,525,19,215,275,575
Leaf - Come Around (56),61,846,10,512,318,901
Leaf - Come Around (57),145,2157,16,1794,351,2357
Leaf - Come Around (58),169,2229,13,1828,376,2368
Leaf - Come Around (59),263,1541,36,1085,408,1855
Leaf - Come Around (60),426,1091,44,605,412,1504
Leaf - Come Around (61),193,1898,46,1383,507,2033
Leaf - Come Around (62),434,2850,47,2361,503,3234
Leaf - Come Around (63),220,2533,45,1809,653,2788
Leaf - Come Around (64),643,1607,44,996,526,2232
Leaf - Come Around (65),213,1698,46,1198,511,1917
Leaf - Come Around (66),833,2813,74,2391,539,3642
Leaf - Come Around (67),690,3413,64,2732,526,4083
Leaf - Come Around (68),434,3818,43,3614,315,4260
Leaf - Come Around (69),458,2624,53,1934,660,3083
Leaf - Come Around (70),357,2455,24,2108,329,2812
Leaf - Come Around (71),401,1982,23,1587,264,2389
Leaf - Come Around (72),410,1519,35,1145,306,1928
Leaf - Come Around (73),265,2027,54,1518,525,2286
Leaf - Come Around (74),269,1982,27,1545,397,2248
Leaf - Come Around (75),320,1775,22,1604,152,2094
Leaf - Come Around (76),61,284,22,203,64,345
Leaf - Come Around (77),0,96,24,0,72,96
Leaf - Come Around (78),0,169,20,0,150,169
Leaf - Come Around (79),0,156,24,0,131,156
Leaf - Come Around (80),0,229,20,106,89,229
Leaf - Come Around (81),15,264,20,154,82,270
